-261 33 -39 265.95
-262 34 -40 267.21
-262 34 -41 267.36
-262 35 -39 267.19
-261 33 -40 266.10
-262 33 -39 266.93
-263 35 -40 268.32
-263 33 -39 267.92
-262 34 -41 267.36
-260 34 -40 265.25
-262 34 -40 267.21
-262 35 -39 267.19
-263 34 -41 268.34
-262 33 -39 266.93
-262 35 -40 267.34
-262 34 -39 267.06
-262 34 -39 267.06
-262 34 -40 267.21
-262 34 -39 267.06
-263 34 -40 268.19
-262 34 -39 267.06
-261 33 -39 265.95
-262 34 -38 266.92
-261 33 -38 265.81
-261 34 -41 266.38
-262 34 -41 267.36
-262 33 -38 266.79
-261 32 -38 265.69
-263 34 -39 268.04
-261 34 -40 266.23
-262 35 -39 267.19
-262 34 -40 267.21
-262 34 -41 267.36
-262 35 -41 267.49
-263 35 -41 268.47
-262 34 -40 267.21
-262 34 -38 266.92
-261 33 -38 265.81
-263 34 -40 268.19
-262 35 -40 267.34
-261 33 -39 265.95
-262 35 -41 267.49
-262 34 -39 267.06
-262 34 -39 267.06
-261 33 -41 266.25
-262 35 -40 267.34
-261 35 -40 266.36
-262 33 -39 266.93
-262 34 -42 267.51
-263 34 -40 268.19
-263 34 -40 268.19
-260 35 -40 265.38
-262 34 -40 267.21
-263 33 -39 267.92
-261 35 -39 266.21
-261 34 -39 266.08
-261 33 -41 266.25
-262 34 -39 267.06
-262 34 -40 267.21
-262 33 -39 266.93
-263 33 -40 268.06
-262 34 -39 267.06
-262 34 -38 266.92
-260 33 -40 265.12
-261 34 -40 266.23
-262 34 -40 267.21
-262 34 -41 267.36
-262 34 -40 267.21
-262 34 -41 267.36
-262 34 -40 267.21
-261 34 -40 266.23
-261 34 -39 266.08
-262 34 -40 267.21
-262 34 -40 267.21
-260 33 -41 265.27
-262 35 -39 267.19
-263 35 -40 268.32
-261 34 -39 266.08
-261 33 -38 265.81
-262 33 -39 266.93
-262 35 -38 267.04
-263 34 -39 268.04
-261 33 -40 266.10
-262 33 -41 267.23
-262 34 -39 267.06
-261 33 -40 266.10
-262 34 -41 267.36
-261 33 -41 266.25
-262 34 -40 267.21
-262 34 -40 267.21
-262 35 -39 267.19
-261 33 -40 266.10
-261 33 -37 265.67
-261 33 -39 265.95
-262 34 -40 267.21
-261 34 -41 266.38
-260 33 -41 265.27
-262 34 -38 266.92
-261 33 -41 266.25
-262 32 -40 266.96
-261 34 -40 266.23
-261 32 -40 265.98
-262 33 -39 266.93
-261 33 -39 265.95
-262 34 -40 267.21
-262 34 -40 267.21
-260 34 -39 265.10
-261 34 -39 266.08
-260 32 -41 265.15
-262 35 -40 267.34
-261 34 -39 266.08
-260 33 -39 264.97
-261 33 -42 266.41
-261 34 -40 266.23
-261 34 -41 266.38
-262 34 -40 267.21
-261 35 -42 266.66
-263 34 -39 268.04
-262 35 -40 267.34
-261 33 -40 266.10
-262 35 -40 267.34
-260 33 -38 264.83
-261 33 -41 266.25
-262 34 -39 267.06
-263 34 -40 268.19
-261 33 -39 265.95
-262 34 -40 267.21
-262 34 -40 267.21
-262 34 -40 267.21
-260 33 -41 265.27
-263 35 -38 268.03
-262 34 -40 267.21
-262 35 -39 267.19
-263 34 -39 268.04
-261 34 -39 266.08
-262 34 -41 267.36
-262 34 -40 267.21
-261 32 -40 265.98
-262 35 -40 267.34
-261 33 -39 265.95
-261 33 -38 265.81
-262 35 -39 267.19
-261 35 -41 266.51
-263 34 -38 267.90
-261 34 -39 266.08
-261 34 -39 266.08
-262 33 -41 267.23
-262 34 -41 267.36
-261 33 -39 265.95
-263 34 -41 268.34
-262 34 -38 266.92
-262 32 -40 266.96
-263 34 -40 268.19
-261 33 -39 265.95
-261 33 -41 266.25
-261 34 -38 265.93
-261 33 -39 265.95
-261 34 -39 266.08
-261 34 -40 266.23
-263 35 -38 268.03
-261 33 -38 265.81
-261 34 -39 266.08
-262 34 -38 266.92
-262 34 -41 267.36
-263 34 -41 268.34
-262 35 -41 267.49
-261 34 -41 266.38
-262 34 -42 267.51
-261 33 -40 266.10
-262 33 -40 267.08
-262 34 -41 267.36
-262 34 -37 266.78
-261 33 -41 266.25
-262 34 -40 267.21
-261 34 -39 266.08
-261 34 -39 266.08
-262 35 -39 267.19
-260 33 -41 265.27
-262 34 -42 267.51
-262 34 -40 267.21
-261 33 -41 266.25
-262 35 -39 267.19
-262 34 -40 267.21
-262 35 -40 267.34
-261 34 -39 266.08
-260 34 -38 264.95
-262 34 -39 267.06
-263 34 -40 268.19
-262 34 -40 267.21
-262 34 -40 267.21
-261 32 -41 266.13
-261 33 -40 266.10
-261 33 -38 265.81
-261 34 -41 266.38
-261 34 -40 266.23
-260 33 -40 265.12
-261 34 -38 265.93
-261 34 -39 266.08
-261 35 -37 265.92
-262 34 -39 267.06
-262 34 -40 267.21
-261 34 -40 266.23
-262 33 -39 266.93
-262 35 -41 267.49
-262 34 -40 267.21
-262 34 -40 267.21
-261 34 -38 265.93
-261 34 -40 266.23
-262 34 -40 267.21
-262 35 -41 267.49
-261 34 -40 266.23
-262 34 -40 267.21
-261 34 -40 266.23
-262 34 -40 267.21
-261 34 -41 266.38
-262 32 -39 266.81
-263 34 -39 268.04
-261 34 -40 266.23
-262 34 -38 266.92
-262 33 -40 267.08
-260 33 -40 265.12
-261 34 -39 266.08
-261 33 -39 265.95
-262 34 -39 267.06
-262 35 -40 267.34
-262 34 -39 267.06
-261 34 -39 266.08
-262 34 -39 267.06
-261 34 -40 266.23
-262 35 -40 267.34
-261 33 -38 265.81
-262 34 -39 267.06
-263 34 -39 268.04
-261 34 -40 266.23
-262 34 -40 267.21
-262 34 -41 267.36
-261 33 -39 265.95
-261 34 -41 266.38
-261 35 -39 266.21
-261 33 -37 265.67
-261 33 -40 266.10
-260 33 -39 264.97
-262 33 -39 266.93
-260 33 -39 264.97
-261 34 -40 266.23
-262 34 -41 267.36
-262 34 -39 267.06
-261 33 -40 266.10
-261 33 -40 266.10
-262 33 -40 267.08
-262 33 -40 267.08
-261 33 -40 266.10
-262 34 -39 267.06
-262 34 -42 267.51
-261 34 -41 266.38
-263 33 -39 267.92
-260 34 -39 265.10
-261 34 -39 266.08
-261 33 -41 266.25
-263 34 -39 268.04
-262 34 -40 267.21
-260 33 -39 264.97
-262 33 -38 266.79
-261 34 -39 266.08
-260 33 -40 265.12
-262 33 -39 266.93
-260 34 -40 265.25
