80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
80.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
75.00	18.00	42.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
76.00	19.00	39.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
77.00	17.00	38.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
75.00	15.00	43.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
73.00	17.00	35.00
